frame,face_id,x1,y1,x2,y2
82,0,265,218,327,309
82,1,741,98,802,186
82,2,466,170,529,270
82,3,1,9,93,158
83,0,265,221,327,311
83,1,737,103,798,185
83,2,462,177,527,271
84,0,265,225,327,314
84,1,734,112,790,187
84,2,466,182,525,272
85,0,264,229,325,317
85,1,731,111,792,192
85,2,467,186,523,268
85,3,2,23,90,147
86,0,263,235,323,316
86,1,728,111,792,197
86,2,467,188,521,273
87,0,723,120,789,202
87,1,263,238,326,326
88,0,717,124,786,206
88,1,265,241,326,328
89,0,715,126,782,212
89,1,260,242,322,336
89,2,-2,36,80,156
90,0,255,250,317,342
90,1,712,128,781,218
91,0,252,254,316,344
91,1,708,136,776,220
92,0,248,259,314,348
92,1,702,140,771,225
93,0,246,264,311,352
93,1,700,144,766,229
94,0,247,273,309,353
94,1,696,145,763,234
95,0,245,275,306,355
95,1,692,148,760,234
96,0,241,275,304,357
96,1,685,152,754,236
97,0,239,274,300,357
97,1,684,154,750,237
98,0,680,158,745,240
98,1,237,273,299,360
99,0,235,274,297,360
99,1,676,158,743,241
100,0,674,160,740,243
100,1,232,272,295,359
101,0,230,271,294,356
101,1,669,160,737,244
102,0,667,158,733,246
102,1,227,272,291,357
103,0,664,159,732,248
103,1,225,270,290,356
104,0,663,159,733,251
104,1,225,270,288,355
105,0,661,163,729,253
105,1,224,271,288,354
106,0,660,167,726,253
106,1,224,272,286,354
107,0,224,272,286,353
107,1,654,167,725,257
108,0,223,273,286,354
108,1,652,167,720,259
108,2,427,194,479,284
109,0,224,273,286,354
109,1,649,168,719,261
109,2,428,196,478,282
110,0,224,275,285,354
110,1,648,169,717,261
110,2,426,200,477,284
111,0,224,276,284,355
111,1,646,169,715,260
111,2,417,205,472,288
112,0,224,279,283,355
112,1,645,169,714,259
112,2,414,203,472,291
113,0,222,280,284,358
113,1,645,168,713,257
113,2,413,202,472,286
114,0,220,280,284,362
114,1,412,207,470,288
114,2,643,164,712,255
115,0,220,284,281,363
115,1,408,212,466,292
115,2,640,162,709,253
116,0,217,288,279,367
116,1,638,161,706,252
116,2,403,214,462,296
117,0,216,292,277,370
117,1,400,216,459,298
117,2,635,160,705,251
118,0,398,220,456,300
118,1,217,295,277,370
118,2,634,160,702,249
119,0,216,297,275,373
119,1,399,222,457,302
119,2,634,159,702,250
120,0,399,222,455,300
120,1,215,298,276,374
120,2,633,159,701,249
121,0,400,221,455,297
121,1,632,160,700,249
121,2,214,296,276,374
122,0,630,160,698,250
122,1,214,296,276,373
122,2,403,220,456,294
123,0,628,160,696,250
123,1,212,294,274,371
123,2,404,221,455,289
124,0,213,292,274,367
124,1,624,158,694,250
124,2,405,216,459,289
125,0,406,208,466,292
125,1,213,289,276,362
125,2,621,160,691,249
126,0,408,204,469,289
126,1,212,286,276,357
126,2,622,161,688,245
127,0,214,282,274,352
127,1,410,198,467,285
127,2,621,158,687,243
128,0,414,197,470,280
128,1,619,153,688,239
128,2,212,277,272,351
129,0,617,148,686,236
129,1,417,193,477,277
129,2,212,272,271,350
130,0,616,143,687,234
130,1,418,190,475,273
130,2,214,268,272,349
131,0,616,140,684,231
131,1,216,267,271,345
131,2,421,188,472,264
132,0,614,134,683,224
132,1,219,267,270,342
133,0,613,132,682,222
133,1,414,187,471,280
134,0,613,128,680,220
134,1,424,184,482,271
135,0,614,126,681,219
135,1,427,186,484,269
135,2,228,266,281,335
136,0,225,262,281,337
136,1,614,124,682,219
136,2,430,185,487,270
137,0,225,263,281,337
137,1,614,124,681,217
137,2,435,185,490,269
138,0,224,263,282,336
138,1,615,124,682,217
138,2,434,184,493,268
139,0,225,261,284,338
139,1,617,125,683,216
139,2,437,184,494,264
140,0,437,182,496,265
140,1,225,261,285,338
140,2,619,123,685,216
141,0,438,183,496,262
141,1,227,263,284,337
141,2,621,121,687,214
142,0,227,264,284,336
142,1,440,181,497,263
142,2,623,118,690,214
143,0,441,179,500,264
143,1,623,115,691,212
143,2,229,264,283,334
143,3,1,80,66,172
144,0,440,178,497,263
144,1,624,113,692,209
144,2,231,263,283,333
145,0,441,178,497,262
145,1,624,111,692,206
145,2,232,265,283,332
146,0,440,178,497,262
146,1,625,109,694,205
146,2,224,261,282,340
146,3,13,93,81,177
147,0,440,177,497,261
147,1,626,108,693,203
147,2,12,93,86,183
148,0,441,178,497,261
148,1,627,107,694,204
148,2,9,95,90,186
149,0,228,264,288,342
149,1,442,176,499,261
149,2,629,104,697,203
149,3,15,101,94,188
150,0,230,266,290,342
150,1,441,173,499,259
150,2,16,103,96,192
150,3,632,103,697,201
